service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2016/01/01 05:00:00+00,Rail,Blue Line,1145383,60283,19,1570201,50652,31,1
2016/01/01 05:00:00+00,Ferry,Boat-F1,59503,2975,20,,,31,2
2016/01/01 05:00:00+00,Ferry,Boat-F3,16191,810,20,,,31,3
2016/01/01 05:00:00+00,Ferry,Boat-F4,8172,409,20,,,31,4
2016/01/01 05:00:00+00,Bus,Bus,6985521,367659,19,8225148,265328,31,5
2016/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2827718,134653,21,2794459,90144,31,6
2016/01/01 05:00:00+00,Rail,Green Line,3417417,179864,19,4737150,152811,31,7
2016/01/01 05:00:00+00,Rail,Orange Line,4094142,215481,19,5277916,170255,31,8
2016/01/01 05:00:00+00,Rail,Red Line,4696897,247205,19,6000298,193558,31,9
2016/01/01 05:00:00+00,Bus,Silver Line,669761,35251,19,772265,24912,31,10
2016/01/01 05:00:00+00,The RIDE,The RIDE,113748,5987,19,173378,5593,31,11
2016/02/01 05:00:00+00,Rail,Blue Line,1223715,61186,20,1517324,52322,29,12
2016/02/01 05:00:00+00,Ferry,Boat-F1,58596,2790,21,,,29,13
2016/02/01 05:00:00+00,Ferry,Boat-F3,16811,841,20,,,29,14
2016/02/01 05:00:00+00,Ferry,Boat-F4,8539,427,20,,,29,15
2016/02/01 05:00:00+00,Bus,Bus,7469019,373451,20,8191566,282468,29,16
2016/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2615220,124534,21,2584080,89106,29,17
2016/02/01 05:00:00+00,Rail,Green Line,3813404,190670,20,4817192,166110,29,18
2016/02/01 05:00:00+00,Rail,Orange Line,4360890,218045,20,5222213,180076,29,19
2016/02/01 05:00:00+00,Rail,Red Line,5081211,254061,20,6094219,210145,29,20
2016/02/01 05:00:00+00,Bus,Silver Line,730265,36513,20,734150,25316,29,21
2016/02/01 05:00:00+00,The RIDE,The RIDE,113282,5664,20,165757,5716,29,22
2016/03/01 05:00:00+00,Rail,Blue Line,1472440,64019,23,1756951.6,56676,31,23
2016/03/01 05:00:00+00,Ferry,Boat-F1,67941,2954,23,,,31,24
2016/03/01 05:00:00+00,Ferry,Boat-F3,20169,877,23,,,31,25
2016/03/01 05:00:00+00,Ferry,Boat-F4,13081,569,23,,,31,26
2016/03/01 05:00:00+00,Bus,Bus,8679363,377364,23,9456633,305052,31,27
2016/03/01 05:00:00+00,Commuter Rail,Commuter Rail,3084894,134126,23,3048753,98347,31,28
2016/03/01 05:00:00+00,Rail,Green Line,4499554,195633,23,5413830.470000004,174640,31,29
2016/03/01 05:00:00+00,Rail,Orange Line,5092407,221409,23,5893406.28,190110,31,30
2016/03/01 05:00:00+00,Rail,Red Line,5992503,260544,23,6926056,223421,31,31
2016/03/01 05:00:00+00,Bus,Silver Line,901662,39203,23,833048,26873,31,32
2016/03/01 05:00:00+00,The RIDE,The RIDE,137440,5976,23,194761,6283,31,33
2016/04/01 04:00:00+00,Rail,Blue Line,1414182,67342,21,1772106.8,59070,30,34
2016/04/01 04:00:00+00,Ferry,Boat-F1,65615,3125,21,,,30,35
2016/04/01 04:00:00+00,Ferry,Boat-F3,20486,976,21,,,30,36
2016/04/01 04:00:00+00,Ferry,Boat-F4,16274,775,21,,,30,37
2016/04/01 04:00:00+00,Bus,Bus,6231752,389485,16,8822203,294073,30,38
2016/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2732306,130110,21,2699878,89996,30,39
2016/04/01 04:00:00+00,Rail,Green Line,4384568,208789,21,5588800.44,186293,30,40
2016/04/01 04:00:00+00,Rail,Orange Line,4643144,221102,21,5577146.75,185905,30,41
2016/04/01 04:00:00+00,Rail,Red Line,5533494,263500,21,6621164,220705,30,42
2016/04/01 04:00:00+00,Bus,Silver Line,650905,40682,16,823949,27465,30,43
2016/04/01 04:00:00+00,The RIDE,The RIDE,125259,5965,21,182090,6070,30,44
2016/05/01 04:00:00+00,Rail,Blue Line,1419431,67592,21,1798362.1,58012,31,45
2016/05/01 04:00:00+00,Ferry,Boat-F1,69197,3295,21,,,31,46
2016/05/01 04:00:00+00,Ferry,Boat-F3,21414,1020,21,,,31,47
2016/05/01 04:00:00+00,Ferry,Boat-F4,20506,976,21,,,31,48
2016/05/01 04:00:00+00,Bus,Bus,8092982,385380,21,8963275,289138,31,49
2016/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2656886,120768,22,2625761,84702,31,50
2018/04/01 04:00:00+00,Ferry,Boat-F4,16250,739,22,,,30,51
2018/04/01 04:00:00+00,Bus,Bus,7209477,343308,21,8658518,288617,30,52
2018/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2530649,120507,21,2668943,88965,30,53
2018/04/01 04:00:00+00,Rail,Green Line,3893609,185410,21,4921868.37,164062,30,54
2018/04/01 04:00:00+00,Rail,Orange Line,4429086,210909,21,5279512.55,175984,30,55
2018/04/01 04:00:00+00,Rail,Red Line,5296118,252196,21,6259564.5,208652,30,56
2018/04/01 04:00:00+00,Bus,Silver Line,745154,35484,21,923508,30784,30,57
2018/04/01 04:00:00+00,The RIDE,The RIDE,138743,6607,21,166817,5561,30,58
2018/05/01 04:00:00+00,Rail,Blue Line,1564973,71135,22,1914307,61752,31,59
2018/05/01 04:00:00+00,Ferry,Boat-F1,75002,3409,22,,,31,60
2018/05/01 04:00:00+00,Ferry,Boat-F3,27552,1252,22,,,31,61
2018/05/01 04:00:00+00,Ferry,Boat-F4,25990,1181,22,,,31,62
2018/05/01 04:00:00+00,Bus,Bus,7862668,357394,22,9326564,300857,31,63
2018/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2682524,121933,22,2816936,90869,31,64
2018/05/01 04:00:00+00,Rail,Green Line,3935310,178878,22,4823941.53,155611,31,65
2018/05/01 04:00:00+00,Rail,Orange Line,4686529,213024,22,5496140.63,177295,31,66
2018/05/01 04:00:00+00,Rail,Red Line,5632748,256034,22,6594259.6,212718,31,67
2018/05/01 04:00:00+00,Bus,Silver Line,817296,37150,22,988227,31878,31,68
2018/05/01 04:00:00+00,The RIDE,The RIDE,146907,6678,22,173029,5582,31,69
2018/06/01 04:00:00+00,Rail,Blue Line,1506127,71720,21,1886056.7,62869,30,70
2018/06/01 04:00:00+00,Ferry,Boat-F1,76176,3627,21,,,30,71
2018/06/01 04:00:00+00,Ferry,Boat-F3,33925,1615,21,,,30,72
2018/06/01 04:00:00+00,Ferry,Boat-F4,31816,1515,21,,,30,73
2018/06/01 04:00:00+00,Bus,Bus,7274606,346410,21,8779719,292657,30,74
2018/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2581136,122911,21,2723772,90792,30,75
2018/06/01 04:00:00+00,Rail,Green Line,3749827,178563,21,4689139.109999999,156305,30,76
2018/06/01 04:00:00+00,Rail,Orange Line,4439933,211425,21,5294947.75,176498,30,77
2018/06/01 04:00:00+00,Rail,Red Line,5337791,254181,21,6378249.9,212608,30,78
2018/06/01 04:00:00+00,Bus,Silver Line,784891,37376,21,968609,32287,30,79
2018/06/01 04:00:00+00,The RIDE,The RIDE,136637,6507,21,164448,5482,30,80
2018/07/01 04:00:00+00,Rail,Blue Line,1452009,69143,21,1871505,60371,31,81
2018/07/01 04:00:00+00,Bus,Bus,6996749,333178,21,8429273,271912,31,82
2018/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2545179,121199,21,2583913,83352,31,83
2018/07/01 04:00:00+00,Ferry,Ferry,153951,7331,21,193685,6248,31,84
2018/07/01 04:00:00+00,Rail,Green Line,3841351,182921,21,4854824,156607,31,85
2018/07/01 04:00:00+00,Rail,Orange Line,4165306,198348,21,5029552,162244,31,86
2018/07/01 04:00:00+00,Rail,Red Line,5329350,253779,21,6407474,206693,31,87
2018/07/01 04:00:00+00,Bus,Silver Line,789279,37585,21,992776,32025,31,88
2018/07/01 04:00:00+00,The RIDE,The RIDE,125643,5983,21,157641,5085,31,89
2018/08/01 04:00:00+00,Rail,Blue Line,1518965,66042,23,1823972,58838,31,90
2018/08/01 04:00:00+00,Bus,Bus,7627749,331641,23,8799709,283861,31,91
2018/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2786013,121131,23,2728907,88029,31,92
2018/08/01 04:00:00+00,Ferry,Ferry,163576,7112,23,186413,6013,31,93
2018/08/01 04:00:00+00,Rail,Green Line,3988710,173422,23,4778718,154152,31,94
2018/08/01 04:00:00+00,Rail,Orange Line,4413265,191881,23,5057984,163161,31,95
2018/08/01 04:00:00+00,Rail,Red Line,5659742,246076,23,6473801,208832,31,96
2018/08/01 04:00:00+00,Bus,Silver Line,859521,37370,23,1030473,33241,31,97
2018/08/01 04:00:00+00,The RIDE,The RIDE,137609,5983,23,164388,5303,31,98
2018/09/01 04:00:00+00,Rail,Blue Line,1316782,69304,19,1758284,58609,30,99
2018/09/01 04:00:00+00,Bus,Bus,7006441,368760,19,8712407,290414,30,100
2016/05/01 04:00:00+00,Rail,Green Line,4093428,194925,21,5218357.73,168334,31,101
2016/05/01 04:00:00+00,Rail,Orange Line,4590972,218618,21,5499944.35,177418,31,102
2016/05/01 04:00:00+00,Rail,Red Line,5508919,262329,21,6669505.5,215145,31,103
2016/05/01 04:00:00+00,Bus,Silver Line,783259,37298,21,804812,25962,31,104
2016/05/01 04:00:00+00,The RIDE,The RIDE,127655,6079,21,187396,6045,31,105
2016/06/01 04:00:00+00,Rail,Blue Line,1539983,69999,22,1863377.2,62113,30,106
2016/06/01 04:00:00+00,Ferry,Boat-F1,81229,3692,22,,,30,107
2016/06/01 04:00:00+00,Ferry,Boat-F3,29310,1332,22,,,30,108
2016/06/01 04:00:00+00,Ferry,Boat-F4,31345,1425,22,,,30,109
2016/06/01 04:00:00+00,Bus,Bus,8606097,391186,22,8630546,287685,30,110
2016/06/01 04:00:00+00,Commuter Rail,Commuter Rail,3112409,141473,22,3017496,100583,30,111
2017/07/01 04:00:00+00,Bus,Bus,6928955,329950,21,8661443,279401,31,112
2016/06/01 04:00:00+00,Rail,Green Line,4330894,196859,22,5244417.55,174814,30,113
2016/06/01 04:00:00+00,Rail,Orange Line,4817580,218981,22,5521626.770000001,184054,30,114
2016/06/01 04:00:00+00,Rail,Red Line,5842170,265553,22,6800531.8,226684,30,115
2017/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2698676,134934,20,2644878,85319,31,116
2016/06/01 04:00:00+00,Bus,Silver Line,845464,38430,22,811355,27045,30,117
2017/07/01 04:00:00+00,Rail,Green Line,3626476,181324,20,4821551.930000003,155534,31,118
2016/06/01 04:00:00+00,The RIDE,The RIDE,159519,7251,22,188291,6276,30,119
2017/07/01 04:00:00+00,Rail,Orange Line,4067013,203351,20,5096206.17,164394,31,120
2016/07/01 04:00:00+00,Rail,Blue Line,1396052,69803,20,1874643.1,60472,31,121
2017/07/01 04:00:00+00,Rail,Red Line,5145860,257293,20,6456710.2,208281,31,122
2016/07/01 04:00:00+00,Ferry,Boat-F1,74280,3714,20,,,31,123
2017/07/01 04:00:00+00,Bus,Silver Line,760559,36217,21,944674,30473,31,124
2016/07/01 04:00:00+00,Ferry,Boat-F3,32939,1647,20,,,31,125
2017/07/01 04:00:00+00,The RIDE,The RIDE,128361,6418,20,160754,5186,31,126
2016/07/01 04:00:00+00,Ferry,Boat-F4,35464,1773,20,,,31,127
2017/07/01 04:00:00+00,Rail,Blue Line,1389657,69483,20,1882494.5,60726,31,128
2016/07/01 04:00:00+00,Bus,Bus,7105389,355269,20,8033226,259136,31,129
2017/07/01 04:00:00+00,Ferry,Boat-F1,70720,3536,20,,,31,130
2016/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2818964,134236,21,2745416,88562,31,131
2017/08/01 04:00:00+00,Rail,Blue Line,1577814,68601,23,1910350.2,61624,31,132
2016/07/01 04:00:00+00,Rail,Green Line,3900944,195047,20,5174400.41,166916,31,133
2017/08/01 04:00:00+00,Ferry,Boat-F1,82468,3586,23,,,31,134
2016/07/01 04:00:00+00,Rail,Orange Line,4195955,209798,20,5228146.4,168650,31,135
2017/08/01 04:00:00+00,Ferry,Boat-F3,43125,1875,23,,,31,136
2016/07/01 04:00:00+00,Rail,Red Line,5234462,261723,20,6477897,208964,31,137
2017/08/01 04:00:00+00,Ferry,Boat-F4,36977,1849,20,,,31,138
2016/07/01 04:00:00+00,Bus,Silver Line,744914,37246,20,784384,25303,31,139
2017/08/01 04:00:00+00,Bus,Bus,7518350,326885,23,8927405,287981,31,140
2016/07/01 04:00:00+00,The RIDE,The RIDE,136282,6814,20,171166,5521,31,141
2017/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2867065,124655,23,2926175,94393,31,142
2016/08/01 04:00:00+00,Rail,Blue Line,1546388,67234,23,1878964.3,60612,31,143
2017/08/01 04:00:00+00,Rail,Green Line,3982377,173147,23,4792516.38,154597,31,144
2016/08/01 04:00:00+00,Ferry,Boat-F1,84757,3685,23,,,31,145
2017/08/01 04:00:00+00,Rail,Orange Line,4586310,199405,23,5326273.46,171815,31,146
2016/08/01 04:00:00+00,Ferry,Boat-F3,39028,1697,23,,,31,147
2017/08/01 04:00:00+00,Rail,Red Line,5763699,250596,23,6692491.4,215887,31,148
2016/08/01 04:00:00+00,Ferry,Boat-F4,35787,1556,23,,,31,149
2017/08/01 04:00:00+00,Bus,Silver Line,788706,34292,23,932853,30092,31,150
2016/08/01 04:00:00+00,Bus,Bus,8052127,350092,23,8439378,272238,31,151
2017/08/01 04:00:00+00,The RIDE,The RIDE,149390,6495,23,173923,5610,31,152
2016/08/01 04:00:00+00,Commuter Rail,Commuter Rail,3014604,131070,23,3025705,97603,31,153
2017/09/01 04:00:00+00,Rail,Blue Line,1434393,71720,20,1843973.6,61466,30,154
2016/08/01 04:00:00+00,Rail,Green Line,4194421,182366,23,5096701.95,164410,31,155
2017/09/01 04:00:00+00,Ferry,Boat-F1,69395,3470,20,,,30,156
2016/08/01 04:00:00+00,Rail,Orange Line,4652556,202285,23,5350433.52,172595,31,157
2017/09/01 04:00:00+00,Ferry,Boat-F3,25149,1257,20,,,30,158
2017/09/01 04:00:00+00,Ferry,Boat-F4,26195,1310,20,,,30,159
2016/08/01 04:00:00+00,Rail,Red Line,5736716,249422,23,6650790,214542,31,160
2017/09/01 04:00:00+00,Bus,Bus,7400408,370020,20,9089873,302995,30,161
2016/08/01 04:00:00+00,Bus,Silver Line,823347,35798,23,819733,26443,31,162
2017/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2526284,126314,20,3193780,106459,30,163
2016/08/01 04:00:00+00,The RIDE,The RIDE,156522,6805,23,182857,5899,31,164
2017/09/01 04:00:00+00,Rail,Green Line,3968313,198416,20,5179945.72,172665,30,165
2016/09/01 04:00:00+00,Rail,Blue Line,1468332,69921,21,1834012,61134,30,166
2017/09/01 04:00:00+00,Rail,Orange Line,4413644,220682,20,5334998.9,177833,30,167
2016/09/01 04:00:00+00,Ferry,Boat-F1,71201,3236,22,,,30,168
2017/09/01 04:00:00+00,Rail,Red Line,5385669,269283,20,6584520.4,219484,30,169
2016/09/01 04:00:00+00,Ferry,Boat-F3,25186,1145,22,,,30,170
2017/09/01 04:00:00+00,Bus,Silver Line,663795,33190,20,837035,27901,30,171
2016/09/01 04:00:00+00,Ferry,Boat-F4,23333,1061,22,,,30,172
2017/09/01 04:00:00+00,The RIDE,The RIDE,132680,6634,20,162389,5413,30,173
2016/09/01 04:00:00+00,Bus,Bus,8186778,389847,21,8762282,292076,30,174
2017/10/01 04:00:00+00,Rail,Blue Line,1557261,70785,22,1912476.3,61693,31,175
2016/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2830550,128661,22,2830550,94352,30,176
2017/10/01 04:00:00+00,Ferry,Boat-F1,75904,3450,22,,,31,177
2016/09/01 04:00:00+00,Rail,Green Line,4251458,202450,21,5365164.31,178839,30,178
2017/10/01 04:00:00+00,Ferry,Boat-F3,25444,1157,22,,,31,179
2016/09/01 04:00:00+00,Rail,Orange Line,4665536,222168,21,5543596.88,184787,30,180
2017/10/01 04:00:00+00,Ferry,Boat-F4,26442,1202,22,,,31,181
2016/09/01 04:00:00+00,Rail,Red Line,5665667,269794,21,6750190.4,225006,30,182
2017/10/01 04:00:00+00,Bus,Bus,8050056,365912,22,9612888,310094,31,183
2016/09/01 04:00:00+00,Bus,Silver Line,724110,34481,21,760686,25356,30,184
2017/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2756480,125295,22,2897360,93463,31,185
2016/09/01 04:00:00+00,The RIDE,The RIDE,150322,7158,21,179775,5993,30,186
2017/10/01 04:00:00+00,Rail,Green Line,4169401,189518,22,5182655.649999999,167182,31,187
2016/10/01 04:00:00+00,Ferry,Boat-F1,69678,3318,21,,,31,188
2017/10/01 04:00:00+00,Rail,Orange Line,4835976,219817,22,5664755.39,182734,31,189
2017/10/01 04:00:00+00,Rail,Red Line,5871799,266900,22,6841413,220691,31,190
2017/10/01 04:00:00+00,Bus,Silver Line,747702,33986,22,900333,29043,31,191
2017/10/01 04:00:00+00,The RIDE,The RIDE,145884,6631,22,173074,5583,31,192
2017/11/01 04:00:00+00,Rail,Blue Line,1407959,67046,21,1716223.8,57207,30,193
2017/11/01 04:00:00+00,Ferry,Boat-F1,67869,3232,21,,,30,194
2017/11/01 04:00:00+00,Ferry,Boat-F3,21466,1022,21,,,30,195
2017/11/01 04:00:00+00,Ferry,Boat-F4,15229,725,21,,,30,196
2017/11/01 04:00:00+00,Bus,Bus,7376706,351272,21,8778394,292614,30,197
2017/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2593976,123523,21,2727852,90928,30,198
2017/11/01 04:00:00+00,Rail,Green Line,3844086,183052,21,4716823.91,157227,30,199
2017/11/01 04:00:00+00,Rail,Orange Line,4416335,210302,21,5110791.91,170360,30,200
2017/02/01 05:00:00+00,Rail,Orange Line,3856132,202954,19,4650823.83,166101,28,201
2017/02/01 05:00:00+00,Rail,Red Line,4668384,245704,19,5677125,202754,28,202
2017/02/01 05:00:00+00,Bus,Silver Line,603358,31756,19,612411,21872,28,203
2018/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2196400,115600,19,2368814,78960,30,204
2017/02/01 05:00:00+00,The RIDE,The RIDE,122620,6454,19,150605,5379,28,205
2017/03/01 05:00:00+00,Rail,Blue Line,1425951,61998,23,1675964.7,54063,31,206
2018/09/01 04:00:00+00,Ferry,Ferry,127167,6693,19,143096,4770,30,207
2017/03/01 05:00:00+00,Ferry,Boat-F1,66563,2894,23,,,31,208
2018/09/01 04:00:00+00,Rail,Green Line,3775272,198699,19,5086612,169554,30,209
2017/03/01 05:00:00+00,Ferry,Boat-F3,19191,834,23,,,31,210
2018/09/01 04:00:00+00,Rail,Orange Line,4010994,211105,19,4949573,164986,30,211
2017/03/01 05:00:00+00,Ferry,Boat-F4,11808,513,23,,,31,212
2018/09/01 04:00:00+00,Rail,Red Line,5051807,265885,19,6277034,209234,30,213
2017/03/01 05:00:00+00,Bus,Bus,7823065,340133,23,8595017,277259,31,214
2018/09/01 04:00:00+00,Bus,Silver Line,703816,37043,19,933496,31117,30,215
2017/03/01 05:00:00+00,Commuter Rail,Commuter Rail,2742436,119236,23,3037902,97997,31,216
2018/09/01 04:00:00+00,The RIDE,The RIDE,115938,6102,19,152111,5070,30,217
2017/03/01 05:00:00+00,Rail,Green Line,4189865,182168,23,5004618.609999999,161439,31,218
2018/10/01 04:00:00+00,Rail,Blue Line,1602965,69694,23,1900843,61318,31,219
2017/03/01 05:00:00+00,Rail,Orange Line,4697647,204246,23,5382112.319999999,173617,31,220
2018/10/01 04:00:00+00,Bus,Bus,8486193,368964,23,9665944,311805,31,221
2017/03/01 05:00:00+00,Rail,Red Line,5718230,248619,23,6541686.4,211022,31,222
2018/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2803355,121885,23,2822675,91054,31,223
2017/03/01 05:00:00+00,Bus,Silver Line,770216,33488,23,763541,24630,31,224
2018/10/01 04:00:00+00,Ferry,Ferry,138989,6043,23,141487,4564,31,225
2017/03/01 05:00:00+00,The RIDE,The RIDE,157978,6869,23,183220,5910,31,226
2018/10/01 04:00:00+00,Rail,Green Line,4615929,200693,23,5543461,178821,31,227
2017/04/01 04:00:00+00,Rail,Blue Line,1342105,67105,20,1727232,57574,30,228
2018/10/01 04:00:00+00,Rail,Orange Line,4940089,214786,23,5581553,180050,31,229
2017/04/01 04:00:00+00,Ferry,Boat-F1,61364,3068,20,,,30,230
2018/10/01 04:00:00+00,Rail,Red Line,6199732,269554,23,7087303,228623,31,231
2017/04/01 04:00:00+00,Ferry,Boat-F3,19804,990,20,,,30,232
2018/10/01 04:00:00+00,Bus,Silver Line,879936,38258,23,1032751,33315,31,233
2017/04/01 04:00:00+00,Ferry,Boat-F4,18395,920,20,,,30,234
2018/10/01 04:00:00+00,The RIDE,The RIDE,144141,6267,23,167413,5400,31,235
2017/04/01 04:00:00+00,Bus,Bus,6911721,345586,20,8098478,269949,30,236
2017/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2438211,121911,20,2657512,88584,30,237
2017/04/01 04:00:00+00,Rail,Green Line,3984404,199220,20,5224940.659999999,174165,30,238
2017/04/01 04:00:00+00,Rail,Orange Line,4274634,213732,20,5249508.57,174984,30,239
2017/04/01 04:00:00+00,Rail,Red Line,5240524,262026,20,6434563.4,214485,30,240
2017/04/01 04:00:00+00,Bus,Silver Line,681787,34089,20,701721,23391,30,241
2017/04/01 04:00:00+00,The RIDE,The RIDE,141060,7053,20,173945,5798,30,242
2017/05/01 04:00:00+00,Rail,Blue Line,1478593,67209,22,1809394.9,58368,31,243
2017/05/01 04:00:00+00,Ferry,Boat-F1,82776,3942,21,,,31,244
2017/05/01 04:00:00+00,Ferry,Boat-F3,22938,1092,21,,,31,245
2017/05/01 04:00:00+00,Ferry,Boat-F4,19460,927,21,,,31,246
2017/05/01 04:00:00+00,Bus,Bus,7945266,361148,22,8817889,284448,31,247
2017/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2674877,121585,22,2814199,90781,31,248
2017/05/01 04:00:00+00,Rail,Green Line,4038854,183584,22,4975702.79,160507,31,249
2017/05/01 04:00:00+00,Rail,Orange Line,4659776,211808,22,5475147.72,176618,31,250
2017/05/01 04:00:00+00,Rail,Red Line,5727275,260331,22,6744238.7,217556,31,251
2017/05/01 04:00:00+00,Bus,Silver Line,777612,35346,22,650810,20994,31,252
2017/05/01 04:00:00+00,The RIDE,The RIDE,154184,7008,22,181906,5868,31,253
2017/06/01 04:00:00+00,Rail,Blue Line,1550598,70482,22,1903550.2,63452,30,254
2017/06/01 04:00:00+00,Ferry,Boat-F1,47836,2174,22,,,30,255
2017/06/01 04:00:00+00,Ferry,Boat-F3,34252,1557,22,,,30,256
2017/06/01 04:00:00+00,Ferry,Boat-F4,36868,1676,22,,,30,257
2017/06/01 04:00:00+00,Bus,Bus,7767119,353051,22,8478556,282619,30,258
2017/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2779103,126323,22,2907036,96901,30,259
2017/06/01 04:00:00+00,Rail,Green Line,4161011,189137,22,5088512.49,169617,30,260
2017/06/01 04:00:00+00,Rail,Orange Line,4672258,212375,22,5485035.09,182835,30,261
2017/06/01 04:00:00+00,Rail,Red Line,5740125,260915,22,6734743.2,224491,30,262
2017/06/01 04:00:00+00,Bus,Silver Line,766039,34820,22,682274,22742,30,263
2017/06/01 04:00:00+00,The RIDE,The RIDE,148220,6737,22,173629,5788,30,264
2017/07/01 04:00:00+00,Ferry,Boat-F3,35222,1761,20,,,31,265
2017/07/01 04:00:00+00,Ferry,Boat-F4,30236,1512,20,,,31,266
2018/11/01 04:00:00+00,Rail,Blue Line,1364516,64977,21,1658350,55278,30,267
2018/11/01 04:00:00+00,Bus,Bus,7337003,349382,21,8531719,284390,30,268
2018/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2551332,121492,21,2593497,86450,30,269
2018/11/01 04:00:00+00,Ferry,Ferry,106344,5064,21,106346,3545,30,270
2018/11/01 04:00:00+00,Rail,Green Line,3860535,183835,21,4710656,157022,30,271
2018/11/01 04:00:00+00,Rail,Orange Line,4236739,201749,21,4950758,165025,30,272
2018/11/01 04:00:00+00,Rail,Red Line,5305597,252647,21,6120446,204015,30,273
2018/11/01 04:00:00+00,Bus,Silver Line,798509,38024,21,965165,32172,30,274
2018/11/01 04:00:00+00,The RIDE,The RIDE,130303,6205,21,157104,5237,30,275
2018/12/01 05:00:00+00,Rail,Blue Line,1190476,59524,20,1534083,49487,31,276
2018/12/01 05:00:00+00,Bus,Bus,6369331,318466,20,7813360,252043,31,277
2018/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2425720,121286,20,2503021,80743,31,278
2018/12/01 05:00:00+00,Ferry,Ferry,89680,4484,20,89666,2892,31,279
2018/12/01 05:00:00+00,Rail,Green Line,3248487,162424,20,4190922,135191,31,280
2018/12/01 05:00:00+00,Rail,Orange Line,3601484,180074,20,4457194,143780,31,281
2018/12/01 05:00:00+00,Rail,Red Line,4451265,222563,20,5414553,174663,31,282
2018/12/01 05:00:00+00,Bus,Silver Line,659334,32967,20,848093,27358,31,283
2018/12/01 05:00:00+00,The RIDE,The RIDE,115000,5750,20,150696,4861,31,284
2019/01/01 05:00:00+00,Rail,Blue Line,1278062,60860,21,1606484,51822,31,285
2019/01/01 05:00:00+00,Bus,Bus,7128485,339452,21,8251367,266173,31,286
2019/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2536128,120768,21,2705418,87272,31,287
2019/01/01 05:00:00+00,Ferry,Ferry,96936,4616,21,101561,3276,31,288
2019/01/01 05:00:00+00,Rail,Green Line,3539303,168538,21,4442494,143306,31,289
2019/01/01 05:00:00+00,Rail,Orange Line,4018096,191338,21,4825535,155662,31,290
2019/01/01 05:00:00+00,Rail,Red Line,4977090,237004,21,5934838,191446,31,291
2019/01/01 05:00:00+00,Bus,Silver Line,728626,34696,21,911709,29410,31,292
2019/01/01 05:00:00+00,The RIDE,The RIDE,119049,5669,21,150235,4846,31,293
2019/02/01 05:00:00+00,Rail,Blue Line,1188179,62536,19,1474714,52668,28,294
2019/02/01 05:00:00+00,Bus,Bus,6564028,345475,19,7725803,275922,28,295
2019/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2318133,122007,19,2384857,85173,28,296
2019/02/01 05:00:00+00,Ferry,Ferry,87685,4615,19,94082,3360,28,297
2019/02/01 05:00:00+00,Rail,Green Line,3427318,180385,19,4278179,152792,28,298
2019/02/01 05:00:00+00,Rail,Orange Line,3750436,197391,19,4478618,159951,28,299
2019/02/01 05:00:00+00,Rail,Red Line,4758082,250425,19,5594678,199810,28,300
2016/10/01 04:00:00+00,Ferry,Boat-F3,22053,1050,21,,,31,301
2016/10/01 04:00:00+00,Ferry,Boat-F4,22379,1066,21,,,31,302
2016/10/01 04:00:00+00,Bus,Bus,7676816,383841,20,8712708,281055,31,303
2016/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2845193,135485,21,2850318,91946,31,304
2016/10/01 04:00:00+00,Rail,Green Line,4204618,200220,21,5406758.75,174412,31,305
2016/10/01 04:00:00+00,Rail,Orange Line,4614199,219724,21,5581443.8,180047,31,306
2016/10/01 04:00:00+00,Rail,Red Line,5620051,267621,21,6774528.1,218533,31,307
2016/10/01 04:00:00+00,Bus,Silver Line,715177,35759,20,777673,25086,31,308
2016/10/01 04:00:00+00,The RIDE,The RIDE,148136,7054,21,180972,5838,31,309
2016/10/01 04:00:00+00,Rail,Blue Line,1442037,68668,21,1822732,58798,31,310
2016/11/01 04:00:00+00,Rail,Blue Line,1381174,65770,21,1695374.6,56512,30,311
2016/11/01 04:00:00+00,Ferry,Boat-F1,66818,3182,21,,,30,312
