service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2020/10/01 04:00:00+00,The RIDE,The RIDE,47342,2152,22,64297,2074,31,582
2020/11/01 04:00:00+00,Rail,Blue Line,456621,22831,20,604304,20143,30,583
2020/11/01 04:00:00+00,Bus,Bus,2998614,149930,20,3785357,126179,30,584
2020/11/01 04:00:00+00,Commuter Rail,Commuter Rail,342923,17146,20,387367,12912,30,585
2020/11/01 04:00:00+00,Ferry,Ferry,10280,514,20,11275,376,30,586
2020/11/01 04:00:00+00,Rail,Green Line,867656,43383,20,1146277,38209,30,587
2020/11/01 04:00:00+00,Rail,Orange Line,1044079,52204,20,1345735,44858,30,588
2020/11/01 04:00:00+00,Rail,Red Line,1144846,57242,20,1477327,49244,30,589
2020/11/01 04:00:00+00,Bus,Silver Line,275619,13781,20,365668,12189,30,590
2020/11/01 04:00:00+00,The RIDE,The RIDE,43975,2199,20,59815,1994,30,591
2020/12/01 05:00:00+00,Rail,Blue Line,451335,20515,22,560106,18068,31,592
2020/12/01 05:00:00+00,Bus,Bus,3082973,140135,22,3700267,119363,31,593
2020/12/01 05:00:00+00,Commuter Rail,Commuter Rail,293773,13353,22,327341,10559,31,594
2020/12/01 05:00:00+00,Ferry,Ferry,7876,358,22,7872,254,31,595
2020/12/01 05:00:00+00,Rail,Green Line,820629,37301,22,1015921,32772,31,596
2020/12/01 05:00:00+00,Rail,Orange Line,1028409,46746,22,1220244,39363,31,597
2020/12/01 05:00:00+00,Rail,Red Line,1143482,51976,22,1389002,44807,31,598
2020/12/01 05:00:00+00,Bus,Silver Line,292128,13279,22,371044,11969,31,599
2020/12/01 05:00:00+00,The RIDE,The RIDE,44471,2021,22,59636,1924,31,600
2019/08/01 04:00:00+00,Ferry,Ferry,123200,5600,22,151493,4887,31,601
2019/08/01 04:00:00+00,Rail,Green Line,3794895,172495,22,4643466,149789,31,602
2019/08/01 04:00:00+00,Rail,Orange Line,4423578,201072,22,5220991,168419,31,603
2019/08/01 04:00:00+00,Rail,Red Line,5451750,247807,22,6463959,208515,31,604
2019/08/01 04:00:00+00,Bus,Silver Line,823813,37446,22,1014331,32720,31,605
2019/08/01 04:00:00+00,The RIDE,The RIDE,125884,5722,22,202987,6548,31,606
2019/09/01 04:00:00+00,Rail,Blue Line,1521166,76058,20,1919750,63992,30,607
2019/09/01 04:00:00+00,Bus,Bus,7479428,373972,20,8969616,298987,30,608
2019/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2386500,119325,20,2553903,85130,30,609
2019/09/01 04:00:00+00,Ferry,Ferry,135280,6764,20,148822,4961,30,610
2019/09/01 04:00:00+00,Rail,Green Line,3869417,193471,20,4903676,163456,30,611
2019/09/01 04:00:00+00,Rail,Orange Line,4505587,225279,20,5371381,179046,30,612
2019/09/01 04:00:00+00,Rail,Red Line,5485803,274290,20,6639955,221332,30,613
2019/09/01 04:00:00+00,Bus,Silver Line,738886,36944,20,933957,31132,30,614
2019/09/01 04:00:00+00,The RIDE,The RIDE,117000,5850,20,158647,5288,30,615
2019/10/01 04:00:00+00,Rail,Blue Line,1691330,73536,23,1970127,63552,31,616
2019/10/01 04:00:00+00,Bus,Bus,8528800,370818,23,9744683,314345,31,617
2019/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2799238,121706,23,2911497,93919,31,618
2019/10/01 04:00:00+00,Ferry,Ferry,136022,5914,23,160480,5177,31,619
2019/10/01 04:00:00+00,Rail,Green Line,4263843,185384,23,4968201,160265,31,620
2019/10/01 04:00:00+00,Rail,Orange Line,5021380,218321,23,5258169,169618,31,621
2019/10/01 04:00:00+00,Rail,Red Line,6281604,273113,23,7164378,231109,31,622
2019/10/01 04:00:00+00,Bus,Silver Line,894937,38910,23,1071939,34579,31,623
2019/10/01 04:00:00+00,The RIDE,The RIDE,137172,5964,23,146004,4710,31,624
2019/11/01 04:00:00+00,Rail,Blue Line,1370955,68548,20,1692175,56406,30,625
2019/11/01 04:00:00+00,Bus,Bus,7075494,353775,20,8527062,284235,30,626
2019/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2447860,122393,20,2797188,93240,30,627
2019/11/01 04:00:00+00,Ferry,Ferry,105200,5260,20,147331,4911,30,628
2019/11/01 04:00:00+00,Rail,Green Line,3510859,175543,20,4280366,142679,30,629
2019/11/01 04:00:00+00,Rail,Orange Line,4165782,208289,20,4680848,156028,30,630
2019/11/01 04:00:00+00,Rail,Red Line,5144157,257208,20,5843990,194800,30,631
2019/11/01 04:00:00+00,Bus,Silver Line,829138,41457,20,1024992,34166,30,632
2019/11/01 04:00:00+00,The RIDE,The RIDE,115260,5763,20,108256,3609,30,633
2019/12/01 05:00:00+00,Rail,Blue Line,1310945,62426,21,1626513,52468,31,634
2019/12/01 05:00:00+00,Bus,Bus,6687806,318466,21,7991149,257779,31,635
2019/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2538270,120870,21,2679997,86452,31,636
2019/12/01 05:00:00+00,Ferry,Ferry,93492,4452,21,140704,4539,31,637
2019/12/01 05:00:00+00,Rail,Green Line,3267278,155585,21,4011537,129404,31,638
2019/12/01 05:00:00+00,Rail,Orange Line,3895916,185520,21,4607713,148636,31,639
2019/12/01 05:00:00+00,Rail,Red Line,4735624,225506,21,5341073,172293,31,640
2019/12/01 05:00:00+00,Bus,Silver Line,739832,35230,21,910832,29382,31,641
2019/12/01 05:00:00+00,The RIDE,The RIDE,109914,5234,21,95797,3090,31,642
2020/01/01 05:00:00+00,Rail,Blue Line,1397179,66532,21,1761812,56833,31,643
2020/01/01 05:00:00+00,Bus,Bus,7358106,350386,21,8720857,281318,31,644
2020/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2506182,119342,21,2751882,88770,31,645
2020/01/01 05:00:00+00,Ferry,Ferry,106785,5085,21,149484,4822,31,646
2020/01/01 05:00:00+00,Rail,Green Line,3473442,165402,21,4380768,141315,31,647
2020/01/01 05:00:00+00,Rail,Orange Line,4321821,205801,21,5041751,162637,31,648
2020/01/01 05:00:00+00,Rail,Red Line,5260299,250490,21,6286266,202783,31,649
2020/01/01 05:00:00+00,Bus,Silver Line,778615,37077,21,973248,31395,31,650
2021/06/01 04:00:00+00,Rail,Orange Line,1612670,73303,22,1995451,66515,30,651
2021/06/01 04:00:00+00,Rail,Red Line,1946359,88471,22,2420917,80697,30,652
2021/06/01 04:00:00+00,Bus,Silver Line,418916,19042,22,526528,17551,30,653
2021/06/01 04:00:00+00,The RIDE,The RIDE,58594,2663,22,68711,2290,30,654
2021/07/01 04:00:00+00,Rail,Blue Line,738205,33555,22,987719,31862,31,655
2021/07/01 04:00:00+00,Bus,Bus,4014668,182485,22,5005340,161462,31,656
2021/07/01 04:00:00+00,Commuter Rail,Commuter Rail,649985,29545,22,771532,24888,31,657
2021/07/01 04:00:00+00,Ferry,Ferry,53003,2409,22,68016,2194,31,658
2021/07/01 04:00:00+00,Rail,Green Line,1677128,76233,22,2228599,71890,31,659
